# DESeq2/Condition GF vs wt
NVE100	K07152
NVE20319	K21595
NVE20320	K21595
NVE20340	K01301
NVE20342	K14634
NVE20347	K14005
NVE20357	K01301
NVE20358	K17253
NVE20360	K17341
NVE20378	K13912
NVE20398	K07841
NVE20401	K09250
NVE20403	K10450
NVE20409	K00214
NVE20411	K00214
NVE20412	K03283
NVE20413	K19495
NVE20414	K22147
NVE20447	K06085
NVE20448	K11508
NVE20450	K14570
NVE20452	K01758
NVE20454	K03848
NVE20467	K09090
NVE20472	K09090
NVE20476	K05629
NVE20477	K04203
NVE20478	K17404
NVE20479	K03506
NVE2048	K11862
NVE20482	K04994
NVE20485	K00888
NVE20491	K00944
NVE20492	K14844
NVE20498	K20363
NVE20501	K18592
NVE20506	K10364
NVE20508	K00799
NVE2052	K04919
NVE20535	K08518
NVE20548	K07424
NVE2055	K04892
NVE2056	K04892
NVE20576	K11140
NVE2058	K01206
NVE20585	K04450
NVE20602	K02154
NVE20604	K06115
NVE20608	K10536
NVE20613	K20472
NVE20619	K18173
NVE20625	K11600
NVE2063	K11413
NVE20648	K19721
NVE20658	K14589
NVE20659	K09529
NVE2066	K06944
NVE20662	K14816
NVE20665	K00461
NVE20686	K01148
NVE20699	K05730
NVE20754	K06030
NVE20755	K02738
NVE20758	K14169
NVE20759	K15279
NVE20763	K17401
NVE20765	K17681
NVE20776	K18595
NVE20781	K07440
NVE20797	K00797
NVE2080	K02223
NVE20808	K13365
NVE20829	K00546
NVE20865	K01253
NVE20867	K06107
NVE20892	K09341
NVE20894	K08730
NVE20906	K00629
NVE20907	K15294
NVE20908	K17547
NVE2091	K10799
NVE20910	K03175
NVE20915	K10249
NVE20916	K10249
NVE2092	K15719
NVE20920	K04605
NVE20928	K03535
NVE20933	K12302
NVE20934	K01689
NVE20936	K01557
NVE20941	K00819
NVE20950	K01883
NVE20957	K11129
NVE20959	K13708
NVE20960	K04150
NVE20977	K13704
NVE20979	K15263
NVE20982	K18416
NVE20983	K03575
NVE20984	K10660
NVE20986	K00555
NVE20993	K18674
NVE20996	K09317
NVE20997	K15213
NVE21002	K08064
NVE21004	K04796
NVE21011	K02259
NVE21013	K06173
NVE21029	K20840
NVE21043	K04988
NVE21051	K16732
NVE21054	K06210
NVE21057	K18123
NVE21062	K14794
NVE21074	K17341
NVE21085	K04796
NVE21086	K03424
NVE21090	K04448
NVE21095	K19369
NVE21105	K19721
NVE21107	K19721
NVE21109	K08517
NVE21116	K18263
NVE21117	K08631
NVE2112	K12305
NVE21121	K01530
NVE21130	K20795
NVE21131	K12132
NVE21138	K19904
NVE21159	K08803
NVE21168	K20175
NVE21174	K08366
NVE21175	K11086
NVE2118	K06537
NVE21203	K10151
NVE21222	K07937
NVE2123	K11434
NVE21246	K08202
NVE21249	K16353
NVE21256	K10424
NVE21263	K03954
NVE21267	K02726
NVE21269	K01876
NVE21271	K00942
NVE21274	K11827
NVE21275	K20635
NVE21277	K12362
NVE21284	K05858
NVE21286	K10408
NVE21298	K20064
NVE213	K06628
NVE21302	K02864
NVE21309	K07002
NVE21345	K08266
NVE21359	K19685
NVE21361	K15498
NVE21377	K01895
NVE2138	K07944
NVE21382	K17609
NVE21385	K10808
NVE21387	K10808
NVE21389	K10808
NVE21390	K10808
NVE21397	K09022
NVE21409	K17254
NVE21410	K10739
NVE21418	K16775
NVE21434	K09396
NVE21438	K05181
NVE21445	K09332
NVE21450	K13203
NVE21451	K12741
NVE21452	K01836
NVE21454	K02332
NVE21455	K01893
NVE21462	K17341
NVE21471	K04910
NVE2149	K16754
NVE21498	K20349
NVE21508	K17725
NVE21509	K05312
NVE21513	K19970
NVE21514	K10752
NVE21530	K22070
NVE21536	K13366
NVE21539	K21970
NVE21547	K04809
NVE2156	K04810
NVE21560	K19525
NVE21564	K19525
NVE21575	K01322
NVE21577	K11972
NVE21579	K14815
NVE21581	K01832
NVE216	K18334
NVE21602	K00591
NVE21603	K19177
NVE21606	K14079
NVE21608	K16312
NVE21620	K12391
NVE21625	K17253
NVE21628	K04988
NVE21630	K17253
NVE2164	K07855
NVE21641	K06875
NVE21647	K00290
NVE21652	K14767
NVE2168	K05186
NVE21710	K17382
NVE2172	K04043
NVE21727	K13866
NVE21733	K15171
NVE21734	K03833
NVE21738	K00485
NVE21741	K15306
NVE21743	K11729
NVE21748	K15164
NVE21774	K00488
NVE21785	K14308
NVE21786	K03252
NVE21799	K08202
NVE21843	K00297
NVE21844	K19934
NVE21851	K04397
NVE21861	K11826
NVE21877	K04615
NVE21878	K00049
NVE21886	K08018
NVE21887	K12316
NVE21891	K00746
NVE21902	K13949
NVE21910	K18584
NVE21922	K05192
NVE2193	K12035
NVE21933	K14312
NVE2194	K12035
NVE21957	K16904
NVE21969	K05864
NVE21972	K14443
NVE21991	K14616
NVE21993	K09608
NVE21995	K21989
NVE21996	K21989
NVE22009	K01892
NVE2202	K01091
NVE22023	K19410
NVE22025	K00477
NVE22032	K13192
NVE22038	K05749
NVE22039	K05749
NVE22045	K09608
NVE22049	K14850
NVE2205	K15381
NVE22050	K01279
NVE22059	K15683
NVE22082	K04249
NVE22084	K10300
NVE22145	K01052
NVE22157	K03781
NVE22170	K01301
NVE22173	K16726
NVE22188	K14213
NVE22192	K05289
NVE22193	K00413
NVE22194	K02449
NVE222	K06067
NVE2223	K00544
NVE2224	K04527
NVE22241	K14309
NVE22243	K17509
NVE22248	K02838
NVE22250	K12132
NVE22265	K19942
NVE22266	K05970
NVE2228	K00128
NVE22283	K12035
NVE22288	K02516
NVE22293	K03238
NVE22299	K13051
NVE2230	K12176
NVE22306	K11368
NVE22311	K16759
NVE22313	K07189
NVE2234	K01359
NVE22347	K01939
NVE22361	K22382
NVE22362	K00658
NVE22368	K03858
NVE22372	K04482
NVE22376	K01724
NVE22377	K02209
NVE22378	K06269
NVE22383	K18184
NVE22384	K06637
NVE22393	K11412
NVE22395	K13025
NVE224	K00940
NVE22401	K14715
NVE22411	K03233
NVE22425	K11665
NVE22426	K14841
NVE22428	K02730
NVE22444	K01958
NVE22445	K01958
NVE22446	K10669
NVE22448	K10667
NVE22451	K04988
NVE22453	K04988
NVE22457	K00670
NVE22470	K21893
NVE22473	K08003
NVE22488	K00569
NVE22509	K13278
NVE22525	K04079
NVE2253	K07178
NVE22530	K02183
NVE22537	K05546
NVE22539	K08585
NVE22553	K01166
NVE22567	K11584
NVE2257	K14763
NVE22570	K17770
NVE22588	K03265
NVE22611	K05190
NVE22615	K00128
NVE22629	K00567
NVE22651	K01923
NVE22661	K11807
NVE2267	K07376
NVE22672	K03062
NVE22673	K13187
NVE22689	K18646
NVE22693	K13887
NVE227	K14003
NVE2271	K02342
NVE22712	K10643
NVE22723	K08378
NVE2273	K05306
NVE22736	K10343
NVE22737	K10251
NVE22740	K15290
NVE2275	K00213
NVE22752	K03294
NVE22753	K15734
NVE22756	K10149
NVE22759	K13111
NVE22761	K01803
NVE2277	K07376
NVE2281	K04967
NVE2284	K02888
NVE22853	K18237
NVE22855	K06316
NVE22856	K09583
NVE22861	K02206
NVE2287	K15498
NVE22875	K21954
NVE22877	K04420
NVE22894	K05051
NVE22895	K13750
NVE22896	K21358
NVE22930	K00323
NVE22958	K18666
NVE22974	K14537
NVE22976	K03505
NVE22979	K18423
NVE22991	K16353
NVE23003	K04828
NVE23006	K09291
NVE23007	K04605
NVE23013	K12035
NVE23023	K18260
NVE23025	K09228
NVE23028	K15789
NVE23033	K05218
NVE23034	K08187
NVE23044	K01242
NVE23047	K01148
NVE23052	K06630
NVE23053	K14809
NVE23055	K00228
NVE2307	K06171
NVE2309	K00236
NVE23129	K20175
NVE23141	K05673
NVE23142	K18461
NVE23144	K14457
NVE2315	K05673
NVE23151	K02946
NVE23160	K04399
NVE23163	K12021
NVE23170	K21752
NVE23171	K01482
NVE23176	K14300
NVE2318	K08187
NVE23181	K05765
NVE23182	K11252
NVE23189	K22390
NVE23190	K22390
NVE23199	K22198
NVE23200	K02149
NVE23201	K20352
NVE23214	K10268
NVE2323	K04510
NVE2326	K15712
NVE23271	K04739
NVE23272	K09866
NVE23279	K04794
NVE2328	K13868
NVE23281	K04688
NVE23283	K10756
NVE23285	K20478
NVE23286	K14568
NVE23289	K10276
NVE23298	K03237
NVE23299	K13344
NVE23310	K00876
NVE23323	K13868
NVE23334	K12351
NVE23354	K19199
NVE2337	K06671
NVE23390	K17725
NVE234	K10436
NVE23407	K16762
NVE23418	K04127
NVE23420	K01942
NVE23429	K12739
NVE2343	K05396
NVE23430	K05023
NVE23436	K00331
NVE23439	K10366
NVE23467	K01867
NVE23472	K10382
NVE23475	K09228
NVE23534	K00734
NVE23535	K05906
NVE23540	K15443
NVE23541	K07901
NVE23543	K00787
NVE23545	K14286
NVE23555	K15542
NVE23556	K18168
NVE23557	K04467
NVE23558	K11323
NVE23561	K01047
NVE23568	K13346
NVE23572	K09877
NVE23582	K13280
NVE23589	K04796
NVE23602	K02183
NVE2365	K00626
NVE23671	K10755
NVE23672	K05759
NVE23676	K07756
NVE23679	K20779
NVE23706	K01070
NVE23710	K20282
NVE2372	K04607
NVE23723	K06275
NVE2377	K11564
NVE23795	K11885
NVE23796	K03012
NVE23801	K13110
NVE23805	K06254
NVE23810	K01310
NVE23813	K00134
NVE23815	K01183
NVE23818	K01689
NVE23819	K04536
NVE2382	K16546
NVE23820	K07903
NVE23825	K14835
NVE23841	K09267
NVE23846	K07941
NVE23847	K07941
NVE23864	K04507
NVE23865	K01231
NVE23866	K01772
NVE239	K03434
NVE23931	K07939
NVE2394	K11787
NVE23951	K17543
NVE23959	K08375
NVE23962	K03955
NVE23966	K14996
NVE23970	K19683
NVE23975	K03540
NVE23976	K02257
NVE23978	K07195
NVE23990	K10949
NVE23998	K17868
NVE24007	K11252
NVE24009	K02267
NVE24033	K07841
NVE24041	K11252
NVE24079	K14775
NVE24083	K10577
NVE24095	K04988
NVE24123	K10380
NVE24126	K04969
NVE24132	K13212
NVE24134	K01530
NVE24137	K04498
NVE2414	K12617
NVE24140	K00789
NVE24144	K01887
NVE2416	K04266
NVE24167	K19478
NVE24168	K11654
NVE24169	K10185
NVE24172	K16480
NVE2418	K04593
NVE24181	K01025
NVE24188	K12751
NVE24190	K16465
NVE24193	K05673
NVE24194	K01558
NVE24196	K04801
NVE24199	K07374
NVE242	K02156
NVE24200	K07374
NVE24209	K20028
NVE24214	K02295
NVE24215	K13517
NVE24231	K16745
NVE2425	K19947
NVE24268	K10706
NVE24269	K12021
NVE24273	K12493
NVE24283	K08813
NVE24288	K05619
NVE24297	K00261
NVE24299	K05770
NVE24302	K04434
NVE24309	K01052
NVE24311	K01302
NVE24312	K14408
NVE2436	K02374
NVE24383	K06874
NVE24390	K03424
NVE24391	K10803
NVE24392	K05126
NVE24412	K19678
NVE24414	K18628
NVE24415	K14165
NVE24421	K00901
NVE24422	K06675
NVE24435	K06773
NVE2445	K00128
NVE24473	K08764
NVE24480	K02114
NVE24484	K10580
NVE24493	K17267
NVE24526	K08766
NVE24529	K14312
NVE24532	K13862
NVE2456	K20478
NVE24569	K17529
NVE24594	K17824
NVE24597	K00738
NVE246	K15362
NVE24600	K09515
NVE24608	K00274
NVE24627	K00565
NVE24635	K03783
NVE24637	K12875
NVE24640	K13868
NVE24641	K11841
NVE24642	K08956
NVE24656	K01673
NVE24698	K04443
NVE247	K15423
NVE24705	K10638
NVE24717	K01638
NVE24723	K04499
NVE24732	K01183
NVE24736	K17902
NVE24741	K17806
NVE24742	K05609
NVE24754	K00181
NVE24783	K17614
NVE24794	K11858
NVE24795	K00294
NVE24797	K17079
NVE24806	K01769
NVE24812	K00471
NVE24826	K00456
NVE24831	K10256
NVE24832	K14797
NVE24836	K15865
NVE24842	K01338
NVE24870	K17804
NVE24872	K06238
NVE24881	K00315
NVE24887	K06961
NVE2489	K20360
NVE24894	K16816
NVE24895	K00547
NVE24898	K17985
NVE24911	K15601
NVE24912	K14001
NVE24914	K05768
NVE2492	K04612
NVE24920	K09345
NVE2493	K06974
NVE24937	K03252
NVE24938	K14308
NVE24947	K14026
NVE24950	K11660
NVE24957	K11545
NVE24961	K01759
NVE24968	K16755
NVE24983	K10649
NVE24988	K21548
NVE2499	K04739
NVE24992	K09569
NVE24996	K19196
NVE24997	K21870
NVE25	K03259
NVE250	K03255
NVE25000	K13963
NVE25006	K07232
NVE25007	K20409
NVE25008	K13443
NVE2501	K05857
NVE25013	K10869
NVE25016	K09553
NVE25020	K14774
NVE25021	K09491
NVE25022	K00512
NVE25028	K00621
NVE25029	K17610
NVE25047	K06633
NVE2505	K12663
NVE25055	K05695
NVE25076	K17260
NVE2508	K12396
NVE25081	K01858
NVE25084	K00784
NVE25085	K02867
NVE25092	K05034
NVE25096	K18159
NVE2510	K08375
NVE25125	K16576
NVE25126	K07874
NVE25142	K10898
NVE2516	K01426
NVE2517	K06639
NVE2519	K08865
NVE25196	K16765
NVE25197	K03105
NVE25203	K10716
NVE25209	K20053
NVE25214	K11318
NVE25215	K07916
NVE25218	K06819
NVE25223	K17795
NVE25234	K05723
NVE25243	K00799
NVE25254	K01276
NVE25261	K00512
NVE25265	K11647
NVE25266	K12389
NVE25268	K04715
NVE25273	K03386
NVE25280	K06711
NVE25299	K04809
NVE25305	K20644
NVE25321	K00252
NVE25325	K20820
NVE25329	K04150
NVE25332	K06238
NVE25334	K06238
NVE2534	K11248
NVE25345	K15425
NVE25347	K16815
NVE25364	K17341
NVE25373	K09851
NVE2538	K13210
NVE25382	K05637
NVE25388	K17543
NVE2539	K05765
NVE25393	K22390
NVE25426	K07515
NVE25435	K21914
NVE25440	K03165
NVE25441	K04984
NVE25467	K00857
NVE25476	K11143
NVE25492	K13516
NVE255	K06238
NVE25535	K08678
NVE25536	K09435
NVE25540	K03006
NVE25544	K04795
NVE25552	K12840
NVE25556	K21771
NVE25573	K01724
NVE25587	K12883
NVE25588	K00512
NVE25596	K04256
NVE25599	K00474
NVE25606	K03016
NVE25609	K00943
NVE25610	K09225
NVE25611	K04984
NVE25646	K01195
NVE25649	K10295
NVE25651	K08228
NVE25653	K12459
NVE25654	K11837
NVE25674	K10575
NVE25677	K12309
NVE25689	K18082
NVE25692	K16669
NVE25693	K02358
NVE25695	K11308
NVE25698	K12893
NVE25705	K10749
NVE25706	K11394
NVE25754	K08734
NVE25777	K09624
NVE25782	K06645
NVE25785	K04266
NVE2582	K16601
NVE25828	K08669
NVE25865	K09493
NVE25875	K12132
NVE25888	K14321
NVE25929	K20819
NVE25931	K09554
NVE25941	K05034
NVE25962	K01619
NVE25965	K05236
NVE25990	K19873
NVE26005	K19922
NVE26008	K20173
NVE26010	K15159
NVE26013	K00461
NVE26014	K08151
NVE26028	K01074
NVE2603	K19328
NVE26036	K17043
NVE26039	K17306
NVE26069	K08606
NVE26071	K16676
NVE26074	K13251
NVE26088	K04500
NVE26092	K07525
NVE26093	K01415
NVE26097	K02353
NVE26101	K03189
NVE26102	K17500
NVE26110	K19464
NVE26111	K12861
NVE26113	K09459
NVE26114	K20198
NVE26119	K00981
NVE26120	K04802
NVE2613	K15196
NVE26144	K15438
NVE2615	K15109
NVE26161	K13298
NVE26168	K04649
NVE2617	K01082
NVE26176	K17341
NVE2618	K13051
NVE26180	K11803
NVE262	K16938
NVE26200	K08056
NVE26208	K05678
NVE2628	K01785
NVE2635	K12132
NVE2637	K10606
NVE2641	K12403
NVE2687	K03331
NVE2689	K03377
NVE2691	K20398
NVE2694	K12132
NVE2699	K07374
NVE2701	K07374
NVE2702	K07374
NVE2705	K03231
NVE2706	K15235
NVE2712	K12389
NVE2723	K07556
NVE2726	K10427
NVE2733	K00262
NVE2735	K04364
NVE274	K17497
NVE2764	K12485
NVE2772	K04988
NVE2773	K06639
NVE2784	K00681
NVE2792	K13238
NVE2793	K13238
NVE2810	K04285
NVE2820	K00940
NVE2824	K13116
NVE2825	K12585
NVE2832	K09608
NVE2835	K01186
NVE2864	K00799
NVE2869	K02323
NVE287	K01069
NVE2870	K05692
NVE2871	K18441
NVE2872	K17816
NVE2898	K18047
NVE2903	K14787
NVE2908	K00457
NVE2923	K10599
NVE2932	K16942
NVE2937	K09577
NVE2943	K15152
NVE2945	K09498
NVE2951	K19949
NVE2956	K17579
NVE296	K19948
NVE2963	K16896
NVE2965	K08606
NVE2975	K04266
NVE2976	K03246
NVE2981	K01372
NVE299	K10408
NVE2991	K14857
NVE2993	K13216
NVE30	K17428
NVE3014	K00419
NVE3030	K13051
NVE3047	K04615
NVE3048	K04615
NVE3062	K01638
NVE3064	K11088
NVE3068	K10373
NVE3069	K10766
NVE3074	K18529
NVE3076	K04097
NVE3078	K02266
NVE3079	K06942
NVE3081	K07903
NVE3083	K01011
NVE3084	K01011
NVE3085	K00248
NVE3094	K14298
NVE31	K19405
NVE3123	K05614
NVE3126	K01966
NVE3140	K12172
NVE3145	K02210
NVE3182	K20828
NVE3183	K13136
NVE3184	K14800
NVE3187	K06627
NVE319	K08336
NVE3191	K00323
NVE3197	K22385
NVE320	K11673
NVE3211	K21873
NVE3215	K04960
NVE3216	K15445
NVE3217	K01176
NVE3219	K15195
NVE3220	K03868
NVE3248	K12489
NVE3249	K17784
NVE3256	K21971
NVE3257	K00010
NVE3259	K00010
NVE3264	K16831
NVE3266	K07508
NVE3272	K01890
NVE3274	K11456
NVE3275	K00852
NVE3278	K17360
NVE3285	K00789
NVE3286	K00789
NVE3289	K11095
NVE3292	K05610
NVE3294	K19801
NVE3295	K19801
NVE3301	K05309
NVE3317	K11699
NVE3324	K19363
NVE3325	K03136
NVE3326	K10457
NVE3343	K01787
NVE3350	K06234
NVE3355	K00318
NVE3365	K12132
NVE3366	K14788
NVE3370	K01480
NVE3372	K20299
NVE3401	K10735
NVE3402	K07189
NVE3404	K00280
NVE3422	K03111
NVE3436	K09377
NVE3439	K03578
NVE3450	K17508
NVE3451	K12384
NVE3457	K05766
NVE3459	K16308
NVE3464	K11428
NVE3466	K06965
NVE3467	K11540
NVE3468	K15620
NVE3478	K07515
NVE3482	K07192
NVE3498	K08547
NVE35	K11436
NVE350	K01307
NVE3500	K17290
NVE3512	K00774
NVE3515	K14559
NVE3522	K01796
NVE356	K06276
NVE3561	K00079
NVE3563	K12311
NVE3566	K01648
NVE3568	K10172
NVE3571	K09188
NVE3572	K09188
NVE3584	K19640
NVE3585	K01934
NVE3586	K15382
NVE3593	K19360
NVE3597	K03103
NVE3613	K16353
NVE3615	K10419
NVE3618	K06185
NVE3620	K06963
NVE3621	K02091
NVE3623	K12261
NVE3625	K15014
NVE3628	K07378
NVE363	K01681
NVE3639	K13194
NVE364	K03267
NVE3656	K09527
NVE3665	K15047
NVE3670	K21396
NVE3678	K00167
NVE369	K10761
NVE3698	K07565
NVE3700	K04393
NVE3702	K03420
NVE3710	K01489
NVE3717	K01301
NVE3721	K13299
NVE3725	K01415
NVE3738	K00128
NVE3742	K16833
NVE3747	K11345
NVE3751	K03065
NVE3753	K03439
NVE3773	K00854
NVE3780	K11863
NVE3781	K10661
NVE3788	K01349
NVE3791	K06711
NVE3794	K10329
NVE3795	K05502
NVE380	K04405
NVE3802	K03217
NVE3816	K09584
NVE3823	K04984
NVE3827	K14397
NVE3829	K17928
NVE3830	K00799
NVE3831	K19756
NVE3858	K17570
NVE3872	K08601
NVE3878	K01687
NVE3893	K17928
NVE3897	K00659
NVE39	K02311
NVE3916	K11511
NVE3918	K09542
NVE3929	K14455
NVE3937	K04371
NVE3942	K17046
NVE3943	K17046
NVE3944	K00699
NVE3960	K09260
NVE3965	K05673
NVE3966	K05673
NVE3981	K11583
NVE400	K16353
NVE4002	K02684
NVE4003	K02684
NVE4006	K19491
NVE4019	K16802
NVE402	K05312
NVE4020	K00602
NVE4027	K11984
NVE4030	K00006
NVE4032	K00058
NVE4034	K07747
NVE4035	K04351
NVE4036	K04351
NVE4051	K03104
NVE4068	K05692
NVE4080	K17341
NVE4090	K14779
NVE4098	K11843
NVE41	K12825
NVE4100	K14638
NVE4103	K01907
NVE4109	K07936
NVE4111	K01841
NVE4118	K18629
NVE4121	K17362
NVE4127	K02265
NVE4157	K03115
NVE4158	K02326
NVE416	K12195
NVE4170	K09578
NVE4198	K07195
NVE420	K02939
NVE4209	K03283
NVE4213	K18040
NVE4223	K00767
NVE4229	K09458
NVE4236	K17264
NVE4246	K11138
NVE4264	K20879
NVE427	K19521
NVE4283	K19367
NVE4288	K03000
NVE4295	K12886
NVE4297	K16571
NVE4306	K05606
NVE431	K18466
NVE4313	K10277
NVE4316	K03008
NVE4318	K10750
NVE4352	K12581
NVE4354	K14799
NVE4355	K19519
NVE4363	K10185
NVE4366	K13133
NVE4370	K01493
NVE4409	K01953
NVE441	K11504
NVE4411	K12389
NVE4413	K18208
NVE442	K14004
NVE4423	K04362
NVE4427	K06700
NVE4432	K00164
NVE4434	K07918
NVE4435	K18402
NVE4437	K09584
NVE444	K20100
NVE4443	K17871
NVE445	K02999
NVE4456	K00714
NVE4477	K14564
NVE4480	K20411
NVE4481	K04863
NVE4482	K10593
NVE4490	K08568
NVE4506	K15075
NVE4508	K07868
NVE4523	K22376
NVE456	K05636
NVE4573	K01810
NVE4578	K11876
NVE4582	K03936
NVE4584	K11878
NVE459	K04513
NVE460	K17732
NVE461	K02729
NVE462	K13985
NVE4624	K15192
NVE4637	K05763
NVE4641	K07767
NVE4645	K20121
NVE4659	K11206
NVE4661	K05673
NVE4662	K16768
NVE4668	K10532
NVE4676	K20298
NVE4683	K03687
NVE4694	K00615
NVE4696	K20520
NVE4733	K15437
NVE4741	K11089
NVE476	K15901
NVE4762	K05673
NVE4768	K15028
NVE4772	K14780
NVE4775	K10479
NVE4780	K08520
NVE4786	K01738
NVE48	K12373
NVE4809	K12389
NVE4822	K05181
NVE4823	K10352
NVE4831	K20286
NVE4833	K13577
NVE4849	K07934
NVE4852	K12873
NVE4855	K03098
NVE4856	K03098
NVE4860	K04988
NVE4872	K18592
NVE4883	K13912
NVE4895	K14768
NVE4902	K20051
NVE4940	K14398
NVE4941	K12035
NVE4944	K11093
NVE4945	K04874
NVE4952	K07277
NVE4961	K03010
NVE4976	K10127
NVE4984	K06201
NVE5	K18327
NVE5002	K16540
NVE5003	K12845
NVE5007	K02258
NVE5010	K12462
NVE5021	K00771
NVE5022	K06843
NVE5027	K08501
NVE5050	K15791
NVE5059	K09448
NVE5100	K00864
NVE5115	K14613
NVE5120	K00471
NVE514	K10755
NVE5154	K01674
NVE5186	K14620
NVE5191	K10252
NVE5193	K07877
NVE5195	K21198
NVE5197	K16532
NVE520	K19603
NVE5203	K09503
NVE5207	K16812
NVE5210	K06711
NVE5212	K06711
NVE5214	K08369
NVE5234	K06051
NVE5235	K17433
NVE5254	K21922
NVE5262	K10299
NVE5266	K20400
NVE5269	K06620
NVE5270	K06620
NVE5273	K17597
NVE5277	K16186
NVE5282	K04398
NVE5283	K04809
NVE5285	K19754
NVE5287	K12667
NVE5296	K12833
NVE5331	K09381
NVE536	K15637
NVE5379	K15076
NVE5385	K05863
NVE5390	K15101
NVE5391	K00286
NVE5395	K08183
NVE5399	K09667
NVE5400	K13785
NVE5421	K13649
NVE5422	K07378
NVE5424	K12319
NVE5425	K12318
NVE5426	K12319
NVE543	K08892
NVE5443	K11968
NVE5447	K19873
NVE5461	K00311
NVE5469	K04615
NVE5471	K09366
NVE5475	K03849
NVE5478	K00729
NVE5488	K00948
NVE5492	K04909
NVE551	K01079
NVE5513	K11170
NVE5518	K06133
NVE5519	K02520
NVE5521	K14553
NVE5525	K14209
NVE5526	K14209
NVE5540	K03011
NVE5541	K06688
NVE555	K00327
NVE5553	K00411
NVE5555	K03213
NVE5563	K08009
NVE5564	K10727
NVE5592	K04392
NVE5600	K02727
NVE5606	K22078
NVE5619	K00939
NVE563	K05756
NVE5654	K03679
NVE5659	K12741
NVE5665	K09008
NVE5674	K17495
NVE5679	K16604
NVE5699	K05665
NVE57	K01415
NVE5702	K01710
NVE572	K13240
NVE5731	K11494
NVE5745	K10745
NVE575	K08606
NVE5765	K03031
NVE5772	K12383
NVE58	K16830
NVE5834	K06911
NVE5838	K20364
NVE5842	K01611
NVE5845	K14168
NVE5872	K02324
NVE5875	K20478
NVE5877	K20478
NVE5878	K17498
NVE5889	K01050
NVE5891	K03249
NVE5895	K20300
NVE5896	K03083
NVE5899	K07440
NVE5902	K07937
NVE5903	K09579
NVE5909	K12863
NVE5910	K03139
NVE5911	K05759
NVE592	K16910
NVE5940	K20069
NVE596	K09479
NVE5964	K05687
NVE5968	K03294
NVE5973	K10271
NVE5994	K00472
NVE6002	K19348
NVE6011	K22076
NVE6012	K18669
NVE6013	K02330
NVE6028	K07515
NVE6044	K13525
NVE6045	K09828
NVE6054	K03676
NVE6058	K10891
NVE6062	K10293
NVE6063	K06027
NVE6064	K18086
NVE6065	K16455
NVE61	K03515
NVE611	K04266
NVE6111	K01712
NVE6114	K01745
NVE6118	K14823
NVE612	K11447
NVE613	K09452
NVE6137	K16310
NVE6142	K22369
NVE616	K13288
NVE6166	K10265
NVE6168	K05641
NVE6172	K12622
NVE6174	K04441
NVE6177	K01298
NVE6179	K01298
NVE6183	K07752
NVE6191	K05695
NVE6202	K17436
NVE621	K06103
NVE6210	K02599
NVE6213	K09409
NVE6214	K04984
NVE6223	K01816
NVE6229	K03447
NVE6232	K04988
NVE6246	K01969
NVE6250	K06777
NVE6253	K10085
NVE6254	K04851
NVE626	K14618
NVE6262	K01128
NVE6265	K12323
NVE6266	K12323
NVE6284	K06107
NVE6285	K10409
NVE6304	K10838
NVE6306	K11503
NVE6316	K07198
NVE6317	K13120
NVE6331	K13982
NVE6332	K00207
NVE6335	K04345
NVE6336	K04679
NVE6339	K13800
NVE635	K02320
NVE6370	K08606
NVE6372	K00627
NVE6373	K18329
NVE6378	K10870
NVE6382	K05810
NVE6384	K08202
NVE6385	K04830
NVE639	K01206
NVE6394	K05692
NVE6398	K12392
NVE640	K00968
NVE6405	K08900
NVE6411	K17266
NVE6412	K20402
NVE6413	K19007
NVE643	K11168
NVE6444	K14613
NVE6448	K06580
NVE6457	K20721
NVE6464	K01974
NVE6465	K03681
NVE6469	K01599
NVE647	K20478
NVE6472	K01641
NVE6476	K09534
NVE6495	K10993
NVE6497	K08791
NVE6499	K18161
NVE65	K17538
NVE6502	K10358
NVE6516	K04461
NVE6519	K07297
NVE652	K05680
NVE6520	K07297
NVE654	K07188
NVE6549	K17263
NVE6554	K18426
NVE6555	K16316
NVE6565	K21956
NVE6570	K01855
NVE6571	K00030
NVE6578	K10956
NVE6628	K01273
NVE6635	K00613
NVE6648	K01893
NVE6664	K02902
NVE6678	K06537
NVE6681	K01823
NVE6689	K09224
NVE6691	K14459
NVE67	K12400
NVE6703	K03254
NVE6705	K01131
NVE6706	K20346
NVE6751	K01462
NVE6782	K11393
NVE6792	K13708
NVE682	K07562
NVE6831	K10798
NVE6832	K12410
NVE6846	K10844
NVE6849	K15276
NVE6850	K11583
NVE6859	K01495
NVE6876	K09385
NVE6908	K04887
NVE6909	K10411
NVE6914	K05674
NVE6919	K12343
NVE6925	K05849
NVE6929	K00911
NVE6937	K21862
NVE6943	K16454
NVE6944	K11884
NVE6951	K08738
NVE6954	K17920
NVE6960	K18384
NVE6963	K01698
NVE6964	K13184
NVE6985	K11848
NVE6987	K12186
NVE6990	K09142
NVE7004	K16175
NVE702	K10403
NVE7034	K06114
NVE7053	K06255
NVE7062	K14825
NVE7063	K09407
NVE708	K09272
NVE7080	K12310
NVE7104	K04421
NVE7109	K10777
NVE7110	K00232
NVE7113	K02105
NVE7118	K22197
NVE7122	K09592
NVE713	K14318
NVE7131	K11406
NVE7145	K00920
NVE7196	K21862
NVE7201	K04914
NVE7204	K08657
NVE721	K13886
NVE7211	K00548
NVE7213	K14944
NVE722	K09592
