"","transcript","ORF","cluster","bE","bJ","bA","SP","No.TM","KO","Kegg"
"23571","NVE12552","Gene.19231::NVE12552::g.19231::m.19231","cluster784",0,0,0,"N",0,"",""
"23572","NVE12552","Gene.19232::NVE12552::g.19232::m.19232","cluster784",0,0,0,"N",1,"",""
"23573","NVE12552","Gene.19233::NVE12552::g.19233::m.19233","cluster784",0,0,0,"N",0,"",""
"3319","NVE24530","Gene.37205::NVE24530::g.37205::m.37205","cluster7773",0,0,0,"N",1,"K14312","NUP155; nuclear pore complex protein Nup155"
"3320","NVE1173","Gene.1961::NVE1173::g.1961::m.1961","cluster5",0,0,0,"N",0,"K10414","DYNC2H; dynein heavy chain 2, cytosolic"
"9994","NVE1173","Gene.1962::NVE1173::g.1962::m.1962","cluster4297",0,0,0,"N",0,"",""
"3321","NVE14208","Gene.21843::NVE14208::g.21843::m.21843","cluster1721",0,0,0,"N",0,"K01681","ACO; aconitate hydratase [EC:4.2.1.3]"
"25635","NVE14208","Gene.21844::NVE14208::g.21844::m.21844","cluster679",0,0,0,"N",0,"",""
"3322","NVE12058","Gene.18478::NVE12058::g.18478::m.18478","cluster104",0,0,0,"N",0,"K06110","EXOC3; exocyst complex component 3"
"22965","NVE12058","Gene.18479::NVE12058::g.18479::m.18479","cluster279",0,0,0,"N",2,"",""
"3323","NVE744","Gene.1333::NVE744::g.1333::m.1333","cluster77",0,0,0,"N",0,"K10877","RAD54B; DNA repair and recombination protein RAD54B [EC:3.6.4.-]"
"9479","NVE744","Gene.1334::NVE744::g.1334::m.1334","cluster299",0,0,0,"N",0,"",""
"3324","NVE7319","Gene.11197::NVE7319::g.11197::m.11197","cluster346",0,0,0,"N",8,"K01537","E3.6.3.8; Ca2+-transporting ATPase [EC:3.6.3.8]"
"17224","NVE7319","Gene.11198::NVE7319::g.11198::m.11198","cluster5937",0,0,0,"N",3,"",""
"17225","NVE7319","Gene.11199::NVE7319::g.11199::m.11199","cluster5323",0,0,0,"N",0,"",""
"17226","NVE7319","Gene.11200::NVE7319::g.11200::m.11200","cluster2187",0,0,0,"N",0,"",""
"3325","NVE21786","Gene.33133::NVE21786::g.33133::m.33133","cluster3629",0,0,1,"N",0,"K03252","EIF3C; translation initiation factor 3 subunit C"
"34500","NVE21786","Gene.33134::NVE21786::g.33134::m.33134","cluster7919",0,0,1,"N",2,"",""
"34501","NVE21786","Gene.33135::NVE21786::g.33135::m.33135","cluster5569",0,0,1,"N",0,"",""
"34502","NVE21786","Gene.33136::NVE21786::g.33136::m.33136","cluster2952",0,0,1,"Y",0,"",""
"3326","NVE15898","Gene.24341::NVE15898::g.24341::m.24341","cluster1226",0,0,0,"N",0,"K14556","DIP2; U3 small nucleolar RNA-associated protein 12"
"27585","NVE15898","Gene.24342::NVE15898::g.24342::m.24342","cluster7527",0,0,0,"N",0,"",""
"3327","NVE3908","Gene.6180::NVE3908::g.6180::m.6180","cluster42",0,0,0,"N",0,"K08827","PRPF4B; serine/threonine-protein kinase PRP4 [EC:2.7.11.1]"
"13299","NVE3908","Gene.6181::NVE3908::g.6181::m.6181","cluster1814",0,0,0,"N",0,"",""
"13300","NVE3908","Gene.6182::NVE3908::g.6182::m.6182","cluster21",0,0,0,"N",3,"",""
"13301","NVE3908","Gene.6183::NVE3908::g.6183::m.6183","cluster78",0,0,0,"N",1,"",""
"3328","NVE24604","Gene.37286::NVE24604::g.37286::m.37286","cluster1828",0,0,0,"N",0,"K20224","IPO9; importin-9"
"37793","NVE24604","Gene.37287::NVE24604::g.37287::m.37287","cluster760",0,0,0,"N",0,"",""
"3329","NVE24950","Gene.37858::NVE24950::g.37858::m.37858","cluster3150",0,0,0,"N",0,"K11660","MTA; metastasis-associated protein MTA"
"38243","NVE24950","Gene.37859::NVE24950::g.37859::m.37859","cluster6505",0,0,0,"N",0,"",""
"38244","NVE24950","Gene.37860::NVE24950::g.37860::m.37860","cluster1889",0,0,0,"Y",0,"",""
"3330","NVE25249","Gene.38295::NVE25249::g.38295::m.38295","cluster1640",0,0,0,"N",0,"K13094","RBM5_10; RNA-binding protein 5/10"
"38583","NVE25249","Gene.38296::NVE25249::g.38296::m.38296","cluster6259",0,0,0,"N",0,"",""
"38584","NVE25249","Gene.38297::NVE25249::g.38297::m.38297","cluster180",0,0,0,"N",1,"",""
"3331","NVE18378","Gene.28054::NVE18378::g.28054::m.28054","cluster2611",0,0,0,"N",0,"K16726","ANKRD17; ankyrin repeat domain-containing protein 17"
"30531","NVE18378","Gene.28055::NVE18378::g.28055::m.28055","cluster8708",0,0,0,"N",0,"",""
"3332","NVE5002","Gene.7771::NVE5002::g.7771::m.7771","cluster2106",0,0,0,"N",0,"K16540","AZI1; 5-azacytidine-induced protein 1"
"6426","NVE5002","Gene.7772::NVE5002::g.7772::m.7772","cluster2106",0,0,0,"N",0,"K16540","AZI1; 5-azacytidine-induced protein 1"
"14531","NVE5002","Gene.7773::NVE5002::g.7773::m.7773","cluster2072",0,0,0,"N",0,"",""
"14532","NVE5002","Gene.7774::NVE5002::g.7774::m.7774","cluster7867",0,0,0,"Y",0,"",""
"14533","NVE5002","Gene.7775::NVE5002::g.7775::m.7775","cluster94",0,0,0,"N",0,"",""
"14534","NVE5002","Gene.7776::NVE5002::g.7776::m.7776","cluster1608",0,0,0,"N",2,"",""
"14535","NVE5002","Gene.7777::NVE5002::g.7777::m.7777","cluster785",0,0,0,"N",0,"",""
"3333","NVE14919","Gene.22889::NVE14919::g.22889::m.22889","cluster319",0,0,0,"N",0,"K08776","NPEPPS; puromycin-sensitive aminopeptidase [EC:3.4.11.-]"
"3334","NVE2150","Gene.3479::NVE2150::g.3479::m.3479","cluster58",0,0,0,"N",6,"K04605","GRM2_3; metabotropic glutamate receptor 2/3"
"3335","NVE21120","Gene.32131::NVE21120::g.32131::m.32131","cluster551",0,0,0,"N",2,"K01530","E3.6.3.1; phospholipid-translocating ATPase [EC:3.6.3.1]"
"33710","NVE21120","Gene.32132::NVE21120::g.32132::m.32132","cluster4794",0,0,0,"N",0,"",""
"3336","NVE17324","Gene.26515::NVE17324::g.26515::m.26515","cluster1337",0,0,0,"N",0,"K21625","DMTF1; cyclin-D-binding Myb-like transcription factor 1"
"3337","NVE15348","Gene.23507::NVE15348::g.23507::m.23507","cluster473",0,0,0,"N",10,"K13856","SLC4A3; solute carrier family 4 (anion exchanger), member 3"
"3338","NVE9408","Gene.14346::NVE9408::g.14346::m.14346","cluster7",0,0,0,"N",0,"K09228","KRAB; KRAB domain-containing zinc finger protein"
"19701","NVE9408","Gene.14347::NVE9408::g.14347::m.14347","cluster3036",0,0,0,"N",0,"",""
"3339","NVE14284","Gene.21968::NVE14284::g.21968::m.21968","cluster1840",0,0,0,"N",0,"K15338","GEN1; flap endonuclease GEN [EC:3.1.-.-]"
"25739","NVE14284","Gene.21969::NVE14284::g.21969::m.21969","cluster4278",0,0,0,"N",0,"",""
"3340","NVE2193","Gene.3545::NVE2193::g.3545::m.3545","cluster60",0,0,0,"N",0,"K12035","TRIM71; tripartite motif-containing protein 71 [EC:2.3.2.27]"
"11243","NVE2193","Gene.3546::NVE2193::g.3546::m.3546","cluster2572",0,0,0,"N",0,"",""
"11244","NVE2193","Gene.3547::NVE2193::g.3547::m.3547","cluster2572",0,0,0,"N",0,"",""
"11245","NVE2193","Gene.3548::NVE2193::g.3548::m.3548","cluster1853",0,0,0,"N",0,"",""
"11246","NVE2193","Gene.3549::NVE2193::g.3549::m.3549","cluster5825",0,0,0,"N",3,"",""
"11247","NVE2193","Gene.3550::NVE2193::g.3550::m.3550","cluster5826",0,0,0,"N",0,"",""
"11248","NVE2193","Gene.3551::NVE2193::g.3551::m.3551","cluster488",0,0,0,"N",0,"",""
"3341","NVE9951","Gene.15231::NVE9951::g.15231::m.15231","cluster938",0,0,0,"Y",5,"K04593","LPHN2; latrophilin 2"
"3342","NVE24637","Gene.37333::NVE24637::g.37333::m.37333","cluster5136",0,0,0,"N",0,"K12875","ACIN1; apoptotic chromatin condensation inducer in the nucleus"
"37826","NVE24637","Gene.37334::NVE24637::g.37334::m.37334","cluster3361",0,0,0,"N",0,"",""
"37827","NVE24637","Gene.37335::NVE24637::g.37335::m.37335","cluster4214",0,0,0,"N",1,"",""
"3343","NVE8552","Gene.13056::NVE8552::g.13056::m.13056","cluster284",0,0,0,"N",0,"K02540","MCM2; DNA replication licensing factor MCM2 [EC:3.6.4.12]"
"18714","NVE8552","Gene.13057::NVE8552::g.13057::m.13057","cluster4287",0,0,0,"N",0,"",""
"18715","NVE8552","Gene.13058::NVE8552::g.13058::m.13058","cluster4839",0,0,0,"N",0,"",""
"3344","NVE10435","Gene.16010::NVE10435::g.16010::m.16010","cluster58",0,0,0,"Y",7,"K04605","GRM2_3; metabotropic glutamate receptor 2/3"
"21012","NVE10435","Gene.16011::NVE10435::g.16011::m.16011","cluster2347",0,0,0,"N",0,"",""
"3345","NVE10534","Gene.16165::NVE10534::g.16165::m.16165","cluster41",0,0,0,"Y",0,"K08621","ADAMTS6; a disintegrin and metalloproteinase with thrombospondin motifs 6 [EC:3.4.24.-]"
"3346","NVE16879","Gene.25853::NVE16879::g.25853::m.25853","cluster1378",0,0,0,"N",0,"K14293","KPNB1; importin subunit beta-1"
"3347","NVE14937","Gene.22913::NVE14937::g.22913::m.22913","cluster615",0,0,0,"N",0,"K20067","STON1_2; stonin-1/2"
"3348","NVE8979","Gene.13680::NVE8979::g.13680::m.13680","cluster3169",0,0,0,"N",0,"K11446","KDM5; histone demethylase JARID1 [EC:1.14.11.-]"
"19179","NVE8979","Gene.13681::NVE8979::g.13681::m.13681","cluster4049",0,0,0,"N",0,"",""
"3349","NVE24715","Gene.37432::NVE24715::g.37432::m.37432","cluster700",0,0,0,"N",0,"K20792","NAA15_16; N-alpha-acetyltransferase 15/16, NatA auxiliary subunit"
"37901","NVE24715","Gene.37433::NVE24715::g.37433::m.37433","cluster8388",0,0,0,"Y",0,"",""
"37902","NVE24715","Gene.37434::NVE24715::g.37434::m.37434","cluster2996",0,0,0,"Y",1,"",""
"3350","NVE20776","Gene.31591::NVE20776::g.31591::m.31591","cluster1224",0,0,0,"N",0,"K18595","EML1_2; echinoderm microtubule-associated protein-like 1/2"
"33292","NVE20776","Gene.31592::NVE20776::g.31592::m.31592","cluster8771",0,0,0,"N",0,"",""
"3351","NVE4171","Gene.6534::NVE4171::g.6534::m.6534","cluster480",0,0,0,"N",0,"K12867","SYF1; pre-mRNA-splicing factor SYF1"
"13561","NVE4171","Gene.6535::NVE4171::g.6535::m.6535","cluster186",0,0,0,"N",0,"",""
"13562","NVE4171","Gene.6536::NVE4171::g.6536::m.6536","cluster518",0,0,0,"N",1,"",""
"13563","NVE4171","Gene.6537::NVE4171::g.6537::m.6537","cluster168",0,0,0,"N",0,"",""
"3352","NVE1737","Gene.2813::NVE1737::g.2813::m.2813","cluster1034",0,0,0,"N",0,"K18533","AK9; adenylate/nucleoside-diphosphate kinase [EC:2.7.4.3 2.7.4.6]"
"10663","NVE1737","Gene.2814::NVE1737::g.2814::m.2814","cluster3362",0,0,0,"Y",1,"",""
"10664","NVE1737","Gene.2815::NVE1737::g.2815::m.2815","cluster5736",0,0,0,"N",0,"",""
"3353","NVE11903","Gene.18235::NVE11903::g.18235::m.18235","cluster2020",0,0,0,"N",0,"K00281","GLDC; glycine dehydrogenase [EC:1.4.4.2]"
"22778","NVE11903","Gene.18236::NVE11903::g.18236::m.18236","cluster4504",0,0,0,"N",0,"",""
"3354","NVE3027","Gene.4799::NVE3027::g.4799::m.4799","cluster6923",0,0,0,"N",0,"K17973","NAA25; N-terminal acetyltransferase B complex non-catalytic subunit"
"3355","NVE11655","Gene.17858::NVE11655::g.17858::m.17858","cluster884",0,0,0,"N",0,"K12591","RRP6; exosome complex exonuclease RRP6 [EC:3.1.13.-]"
"22486","NVE11655","Gene.17859::NVE11655::g.17859::m.17859","cluster7366",0,0,0,"N",0,"",""
"22487","NVE11655","Gene.17860::NVE11655::g.17860::m.17860","cluster2114",0,0,0,"Y",0,"",""
"22488","NVE11655","Gene.17861::NVE11655::g.17861::m.17861","cluster2471",0,0,0,"N",0,"",""
"3356","NVE21052","Gene.32003::NVE21052::g.32003::m.32003","cluster3174",0,0,0,"N",0,"K14766","NOP14; nucleolar protein 14"
"3357","NVE11257","Gene.17213::NVE11257::g.17213::m.17213","cluster1674",0,0,0,"N",0,"K12200","PDCD6IP; programmed cell death 6-interacting protein"
"21975","NVE11257","Gene.17214::NVE11257::g.17214::m.17214","cluster1746",0,0,0,"N",0,"",""
"21976","NVE11257","Gene.17215::NVE11257::g.17215::m.17215","cluster645",0,0,0,"N",0,"",""
"3358","NVE10177","Gene.15583::NVE10177::g.15583::m.15583","cluster1171",0,0,0,"N",1,"K05094","FGFR3; fibroblast growth factor receptor 3 [EC:2.7.10.1]"
"20676","NVE10177","Gene.15584::NVE10177::g.15584::m.15584","cluster795",0,0,0,"N",0,"",""
"20677","NVE10177","Gene.15585::NVE10177::g.15585::m.15585","cluster538",0,0,0,"N",0,"",""
"20678","NVE10177","Gene.15586::NVE10177::g.15586::m.15586","cluster79",0,0,0,"N",0,"",""
"20679","NVE10177","Gene.15587::NVE10177::g.15587::m.15587","cluster1171",0,0,0,"N",0,"",""
"3359","NVE2414","Gene.3888::NVE2414::g.3888::m.3888","cluster1093",0,0,0,"N",0,"K12617","PATL1; DNA topoisomerase 2-associated protein PAT1"
"11506","NVE2414","Gene.3889::NVE2414::g.3889::m.3889","cluster1957",0,0,0,"N",0,"",""
"11507","NVE2414","Gene.3890::NVE2414::g.3890::m.3890","cluster4538",0,0,0,"N",0,"",""
"11508","NVE2414","Gene.3891::NVE2414::g.3891::m.3891","cluster663",0,0,0,"N",0,"",""
"3360","NVE10574","Gene.16223::NVE10574::g.16223::m.16223","cluster284",0,0,0,"N",0,"K02542","MCM6; DNA replication licensing factor MCM6 [EC:3.6.4.12]"
"3361","NVE25658","Gene.38919::NVE25658::g.38919::m.38919","cluster378",0,0,0,"N",1,"K06240","LAMA3_5; laminin, alpha 3/5"
"39062","NVE25658","Gene.38920::NVE25658::g.38920::m.38920","cluster8340",0,0,0,"N",0,"",""
"39063","NVE25658","Gene.38921::NVE25658::g.38921::m.38921","cluster1587",0,0,0,"N",0,"",""
"39064","NVE25658","Gene.38922::NVE25658::g.38922::m.38922","cluster8321",0,0,0,"N",0,"",""
"3362","NVE8870","Gene.13510::NVE8870::g.13510::m.13510","cluster807",1,1,1,"N",0,"K17509","PDPR; pyruvate dehydrogenase phosphatase regulatory subunit"
"19050","NVE8870","Gene.13511::NVE8870::g.13511::m.13511","cluster1450",1,1,1,"Y",0,"",""
"3363","NVE26010","Gene.39406::NVE26010::g.39406::m.39406","cluster2283",0,0,0,"N",0,"K15159","MED16; mediator of RNA polymerase II transcription subunit 16"
"39476","NVE26010","Gene.39407::NVE26010::g.39407::m.39407","cluster4398",0,0,0,"N",0,"",""
"39477","NVE26010","Gene.39408::NVE26010::g.39408::m.39408","cluster1805",0,0,0,"N",0,"",""
"39478","NVE26010","Gene.39409::NVE26010::g.39409::m.39409","cluster1645",0,0,0,"N",0,"",""
"3364","NVE7488","Gene.11416::NVE7488::g.11416::m.11416","cluster2",0,0,0,"N",5,"K04984","TRPA1; transient receptor potential cation channel subfamily A member 1"
"17410","NVE7488","Gene.11417::NVE7488::g.11417::m.11417","cluster2347",0,0,0,"Y",0,"",""
"3365","NVE12755","Gene.19538::NVE12755::g.19538::m.19538","cluster1970",1,1,0,"N",7,"K08465","GPR133; G protein-coupled receptor 133"
"23822","NVE12755","Gene.19539::NVE12755::g.19539::m.19539","cluster1888",1,1,0,"N",0,"",""
"3366","NVE4033","Gene.6367::NVE4033::g.6367::m.6367","cluster1964",0,0,0,"N",0,"K17583","NOM1; nucleolar MIF4G domain-containing protein 1"
"3367","NVE8837","Gene.13464::NVE8837::g.13464::m.13464","cluster1241",0,0,0,"N",0,"K07190","PHKA_B; phosphorylase kinase alpha/beta subunit"
"3368","NVE1237","Gene.2044::NVE1237::g.2044::m.2044","cluster769",0,0,0,"N",0,"K19521","RFX6; regulatory factor X 6"
"3369","NVE4311","Gene.6740::NVE4311::g.6740::m.6740","cluster5299",0,0,0,"N",0,"K11373","ELP1; elongator complex protein 1"
"13722","NVE4311","Gene.6741::NVE4311::g.6741::m.6741","cluster1980",0,0,0,"N",0,"",""
"3370","NVE20640","Gene.31364::NVE20640::g.31364::m.31364","cluster2723",0,0,0,"N",0,"K14552","NAN1; NET1-associated nuclear protein 1 (U3 small nucleolar RNA-associated protein 17)"
"3371","NVE9146","Gene.13965::NVE9146::g.13965::m.13965","cluster134",0,0,0,"N",0,"K11832","USP1; ubiquitin carboxyl-terminal hydrolase 1 [EC:3.4.19.12]"
"3372","NVE19025","Gene.28972::NVE19025::g.28972::m.28972","cluster107",1,1,0,"N",0,"K08833","MAP4K5; mitogen-activated protein kinase kinase kinase kinase 5 [EC:2.7.11.1]"
"31247","NVE19025","Gene.28973::NVE19025::g.28973::m.28973","cluster610",1,1,0,"N",0,"",""
"3373","NVE1948","Gene.3159::NVE1948::g.3159::m.3159","cluster5155",0,0,0,"N",0,"K16453","CCP110; centrosomal protein CEP110"
"10931","NVE1948","Gene.3160::NVE1948::g.3160::m.3160","cluster3381",0,0,0,"N",0,"",""
"10932","NVE1948","Gene.3161::NVE1948::g.3161::m.3161","cluster4470",0,0,0,"N",0,"",""
"3374","NVE18274","Gene.27899::NVE18274::g.27899::m.27899","cluster3674",0,0,0,"N",0,"K12380","RASA3; Ras GTPase-activating protein 3"
"3375","NVE13177","Gene.20350::NVE13177::g.20350::m.20350","cluster3125",0,0,0,"Y",0,"K09487","HSP90B; heat shock protein 90kDa beta"
"24482","NVE13177","Gene.20351::NVE13177::g.20351::m.20351","cluster112",0,0,0,"N",0,"",""
"24483","NVE13177","Gene.20352::NVE13177::g.20352::m.20352","cluster140",0,0,0,"N",0,"",""
"24484","NVE13177","Gene.20353::NVE13177::g.20353::m.20353","cluster2318",0,0,0,"N",2,"",""
"3376","NVE13822","Gene.21258::NVE13822::g.21258::m.21258","cluster5",0,0,0,"N",0,"K10408","DNAH; dynein heavy chain, axonemal"
"25189","NVE13822","Gene.21259::NVE13822::g.21259::m.21259","cluster3541",0,0,0,"N",0,"",""
"3377","NVE6266","Gene.9688::NVE6266::g.9688::m.9688","cluster70",0,0,0,"N",1,"K12323","ANPRA; atrial natriuretic peptide receptor A [EC:4.6.1.2]"
"16052","NVE6266","Gene.9689::NVE6266::g.9689::m.9689","cluster3478",0,0,0,"Y",0,"",""
"3378","NVE24400","Gene.37019::NVE24400::g.37019::m.37019","cluster1969",0,0,0,"N",1,"K11182","AOC1; diamine oxidase [EC:1.4.3.22]"
"3379","NVE5649","Gene.8738::NVE5649::g.8738::m.8738","cluster2772",0,0,0,"N",0,"K16731","GOLGA1; golgin subfamily A member 1"
"3380","NVE8148","Gene.12426::NVE8148::g.12426::m.12426","cluster84",0,0,0,"N",0,"K20632","DLC; deleted in liver cancer protein"
"18199","NVE8148","Gene.12427::NVE8148::g.12427::m.12427","cluster184",0,0,0,"N",0,"",""
"18200","NVE8148","Gene.12428::NVE8148::g.12428::m.12428","cluster461",0,0,0,"N",0,"",""
"3381","NVE4102","Gene.6454::NVE4102::g.6454::m.6454","cluster7269",0,0,0,"Y",1,"K17599","TMEM132; transmembrane protein 132"
"13504","NVE4102","Gene.6455::NVE4102::g.6455::m.6455","cluster6064",0,0,0,"N",0,"",""
"3382","NVE18981","Gene.28906::NVE18981::g.28906::m.28906","cluster2337",0,0,0,"N",1,"K08674","FAP; fibroblast activation protein, alpha [EC:3.4.21.-]"
"31199","NVE18981","Gene.28907::NVE18981::g.28907::m.28907","cluster235",0,0,0,"N",1,"",""
"31200","NVE18981","Gene.28908::NVE18981::g.28908::m.28908","cluster2962",0,0,0,"Y",0,"",""
"3383","NVE19797","Gene.30097::NVE19797::g.30097::m.30097","cluster930",0,0,0,"N",0,"K12491","AGAP1_3; Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1/3"
"32125","NVE19797","Gene.30098::NVE19797::g.30098::m.30098","cluster540",0,0,0,"N",0,"",""
"3384","NVE12524","Gene.19189::NVE12524::g.19189::m.19189","cluster33",0,0,0,"N",0,"K14808","DDX54; ATP-dependent RNA helicase DDX54/DBP10 [EC:3.6.4.13]"
"23538","NVE12524","Gene.19190::NVE12524::g.19190::m.19190","cluster4135",0,0,0,"N",0,"",""
"3385","NVE21393","Gene.32527::NVE21393::g.32527::m.32527","cluster269",0,0,0,"N",1,"K04659","THBS2S; thrombospondin 2/3/4/5"
"34016","NVE21393","Gene.32528::NVE21393::g.32528::m.32528","cluster1361",0,0,0,"N",1,"",""
"3386","NVE19287","Gene.29380::NVE19287::g.29380::m.29380","cluster5072",0,0,0,"N",0,"K04428","MAP3K4; mitogen-activated protein kinase kinase kinase 4 [EC:2.7.11.25]"
"3387","NVE15654","Gene.23967::NVE15654::g.23967::m.23967","cluster1660",0,0,0,"N",0,"K11411","SIRT1; NAD-dependent deacetylase sirtuin 1 [EC:3.5.1.-]"
"27308","NVE15654","Gene.23968::NVE15654::g.23968::m.23968","cluster104",0,0,0,"N",0,"",""
"27309","NVE15654","Gene.23969::NVE15654::g.23969::m.23969","cluster185",0,0,0,"N",0,"",""
"3388","NVE23447","Gene.35589::NVE23447::g.35589::m.35589","cluster2",0,0,0,"N",1,"K04984","TRPA1; transient receptor potential cation channel subfamily A member 1"
"36429","NVE23447","Gene.35590::NVE23447::g.35590::m.35590","cluster2643",0,0,0,"N",0,"",""
"36430","NVE23447","Gene.35591::NVE23447::g.35591::m.35591","cluster1559",0,0,0,"N",0,"",""
"3389","NVE18113","Gene.27667::NVE18113::g.27667::m.27667","cluster33",0,0,0,"N",0,"K12858","DDX23; ATP-dependent RNA helicase DDX23/PRP28 [EC:3.6.4.13]"
"3390","NVE2385","Gene.3844::NVE2385::g.3844::m.3844","cluster636",0,0,0,"N",0,"K12860","CDC5L; pre-mRNA-splicing factor CDC5/CEF1"
"3391","NVE12228","Gene.18762::NVE12228::g.18762::m.18762","cluster4198",0,0,0,"N",0,"K12882","NCBP1; nuclear cap-binding protein subunit 1"
"3392","NVE21586","Gene.32835::NVE21586::g.32835::m.32835","cluster13",0,0,0,"Y",0,"K08606","MEP1B; meprin B [EC:3.4.24.63]"
"34254","NVE21586","Gene.32836::NVE21586::g.32836::m.32836","cluster47",0,0,0,"N",0,"",""
"34255","NVE21586","Gene.32837::NVE21586::g.32837::m.32837","cluster3714",0,0,0,"N",0,"",""
"34256","NVE21586","Gene.32838::NVE21586::g.32838::m.32838","cluster407",0,0,0,"N",0,"",""
"3393","NVE15053","Gene.23077::NVE15053::g.23077::m.23077","cluster8",0,0,0,"N",0,"K16311","SIK2; serine/threonine-protein kinase SIK2 [EC:2.7.11.1]"
"26601","NVE15053","Gene.23078::NVE15053::g.23078::m.23078","cluster1856",0,0,0,"N",0,"",""
"3394","NVE20286","Gene.30822::NVE20286::g.30822::m.30822","cluster342",0,0,0,"N",0,"K20160","DENND1; DENN domain-containing protein 1"
"32698","NVE20286","Gene.30823::NVE20286::g.30823::m.30823","cluster2636",0,0,0,"N",0,"",""
"3395","NVE5207","Gene.8067::NVE5207::g.8067::m.8067","cluster7587",0,0,0,"N",0,"K16812","TPX2; targeting protein for Xklp2"
"14765","NVE5207","Gene.8068::NVE5207::g.8068::m.8068","cluster1",0,0,0,"N",0,"",""
"14766","NVE5207","Gene.8069::NVE5207::g.8069::m.8069","cluster1019",0,0,0,"N",0,"",""
"3396","NVE19987","Gene.30381::NVE19987::g.30381::m.30381","cluster7",0,0,0,"N",0,"K09228","KRAB; KRAB domain-containing zinc finger protein"
"3398","NVE11165","Gene.17083::NVE11165::g.17083::m.17083","cluster1690",0,0,0,"N",1,"K04605",""
"21880","NVE11165","Gene.17084::NVE11165::g.17084::m.17084","cluster1690",0,0,0,"Y",0,"",""
"3399","NVE8879","Gene.13526::NVE8879::g.13526::m.13526","cluster1490",0,0,0,"N",1,"K01205","NAGLU; alpha-N-acetylglucosaminidase [EC:3.2.1.50]"
"3400","NVE16133","Gene.24698::NVE16133::g.24698::m.24698","cluster8",0,0,0,"N",0,"K05410","TBK1; TANK-binding kinase 1 [EC:2.7.11.10]"
"3401","NVE19122","Gene.29129::NVE19122::g.29129::m.29129","cluster372",0,0,0,"N",0,"K03870","CUL2; cullin 2"
"3402","NVE14073","Gene.21641::NVE14073::g.21641::m.21641","cluster1",0,0,0,"N",8,"K14020","WFS1; wolfamin"
"25480","NVE14073","Gene.21642::NVE14073::g.21642::m.21642","cluster4547",0,0,0,"N",0,"",""
"3403","NVE5496","Gene.8511::NVE5496::g.8511::m.8511","cluster765",0,0,0,"N",7,"K04910","KCNH7; potassium voltage-gated channel Eag-related subfamily H member 7"
"3404","NVE10197","Gene.15632::NVE10197::g.15632::m.15632","cluster848",1,1,0,"N",0,"K17398","DNMT3A; DNA (cytosine-5)-methyltransferase 3A [EC:2.1.1.37]"
"20712","NVE10197","Gene.15633::NVE10197::g.15633::m.15633","cluster1096",1,1,0,"N",0,"",""
"20713","NVE10197","Gene.15634::NVE10197::g.15634::m.15634","cluster4683",1,1,0,"N",0,"",""
"20714","NVE10197","Gene.15635::NVE10197::g.15635::m.15635","cluster256",1,1,0,"N",0,"",""
"3405","NVE16575","Gene.25393::NVE16575::g.25393::m.25393","cluster1603",0,0,0,"N",0,"K17552","PPP1R10; protein phosphatase 1 regulatory subunit 10"
"28420","NVE16575","Gene.25394::NVE16575::g.25394::m.25394","cluster1857",0,0,0,"N",2,"",""
"28421","NVE16575","Gene.25395::NVE16575::g.25395::m.25395","cluster946",0,0,0,"N",0,"",""
"3406","NVE16489","Gene.25243::NVE16489::g.25243::m.25243","cluster34",0,0,0,"N",7,"K08465","GPR133; G protein-coupled receptor 133"
"28302","NVE16489","Gene.25244::NVE16489::g.25244::m.25244","cluster1596",0,0,0,"N",0,"",""
"28303","NVE16489","Gene.25245::NVE16489::g.25245::m.25245","cluster2524",0,0,0,"N",3,"",""
"3407","NVE19347","Gene.29473::NVE19347::g.29473::m.29473","cluster3873",0,0,0,"N",0,"K17580","CASC1; cancer susceptibility candidate protein 1"
"31654","NVE19347","Gene.29474::NVE19347::g.29474::m.29474","cluster6308",0,0,0,"N",1,"",""
"3408","NVE3855","Gene.6093::NVE3855::g.6093::m.6093","cluster33",0,0,0,"N",0,"K13177","DDX1; ATP-dependent RNA helicase DDX1 [EC:3.6.4.13]"
"13228","NVE3855","Gene.6094::NVE3855::g.6094::m.6094","cluster4691",0,0,0,"N",0,"",""
"3409","NVE18026","Gene.27531::NVE18026::g.27531::m.27531","cluster334",0,0,0,"N",0,"K21412","ANKLE2; ankyrin repeat and LEM domain-containing protein 2"
"30131","NVE18026","Gene.27532::NVE18026::g.27532::m.27532","cluster211",0,0,0,"N",0,"",""
"30132","NVE18026","Gene.27533::NVE18026::g.27533::m.27533","cluster543",0,0,0,"N",1,"",""
"3410","NVE16954","Gene.25964::NVE16954::g.25964::m.25964","cluster2455",0,0,0,"N",0,"K13147","INTS10; integrator complex subunit 10"
"28874","NVE16954","Gene.25965::NVE16954::g.25965::m.25965","cluster6336",0,0,0,"N",0,"",""
"3411","NVE20607","Gene.31310::NVE20607::g.31310::m.31310","cluster8",0,0,0,"N",0,"K08805","DCLK1_2; doublecortin-like kinase 1/2 [EC:2.7.11.1]"
"33071","NVE20607","Gene.31311::NVE20607::g.31311::m.31311","cluster430",0,0,0,"N",0,"",""
"33072","NVE20607","Gene.31312::NVE20607::g.31312::m.31312","cluster5480",0,0,0,"N",1,"",""
