"","Contig","GO"
"34627","NVE3700","GO:0046847"
"34629","NVE3700","GO:0051491"
"34630","NVE3700","GO:0060041"
"34631","NVE3700","GO:0060271"
"34632","NVE3700","GO:0090050"
"34695","NVE3700","GO:0005813"
"34696","NVE3700","GO:0005886"
"34697","NVE3700","GO:0006911"
"34698","NVE3700","GO:0007015"
"34701","NVE3700","GO:0010592"
"34702","NVE3700","GO:0017119"
"34703","NVE3700","GO:0019901"
"34704","NVE3700","GO:0030175"
"34705","NVE3700","GO:0030307"
"34706","NVE3700","GO:0030496"
"34707","NVE3700","GO:0031274"
"34708","NVE3700","GO:0031333"
"34709","NVE3700","GO:0031996"
"34710","NVE3700","GO:0032427"
"34711","NVE3700","GO:0032467"
"34712","NVE3700","GO:0034191"
"34713","NVE3700","GO:0034329"
"34714","NVE3700","GO:0036464"
"34716","NVE3700","GO:0039694"
"34717","NVE3700","GO:0042802"
"34718","NVE3700","GO:0043025"
"34719","NVE3700","GO:0043197"
"34720","NVE3700","GO:0045198"
"34721","NVE3700","GO:0051233"
"34723","NVE3700","GO:0051496"
"34724","NVE3700","GO:0051988"
"34725","NVE3700","GO:0061630"
"34726","NVE3700","GO:0072686"
"34727","NVE3700","GO:1900026"
"34728","NVE3700","GO:2000251"
"34742","NVE3700","GO:0000322"
"34743","NVE3700","GO:0003161"
"34744","NVE3700","GO:0003334"
"34747","NVE3700","GO:0005829"
"34748","NVE3700","GO:0005911"
"34749","NVE3700","GO:0006897"
"34750","NVE3700","GO:0007088"
"34751","NVE3700","GO:0007097"
"34753","NVE3700","GO:0010628"
"34754","NVE3700","GO:0010629"
"34756","NVE3700","GO:0030742"
"34757","NVE3700","GO:0031069"
"34758","NVE3700","GO:0031256"
"34759","NVE3700","GO:0031424"
"34760","NVE3700","GO:0031647"
"34761","NVE3700","GO:0033138"
"34762","NVE3700","GO:0034332"
"34763","NVE3700","GO:0034613"
"34764","NVE3700","GO:0035088"
"34765","NVE3700","GO:0035264"
"34766","NVE3700","GO:0036336"
"34767","NVE3700","GO:0042176"
"34768","NVE3700","GO:0042995"
"34769","NVE3700","GO:0043209"
"34770","NVE3700","GO:0043410"
"34771","NVE3700","GO:0043497"
"34772","NVE3700","GO:0043552"
"34773","NVE3700","GO:0045177"
"34774","NVE3700","GO:0045335"
"34775","NVE3700","GO:0045859"
"34777","NVE3700","GO:0048664"
"34778","NVE3700","GO:0051017"
"34779","NVE3700","GO:0051022"
"34782","NVE3700","GO:0060047"
"34783","NVE3700","GO:0060070"
"34784","NVE3700","GO:0060501"
"34785","NVE3700","GO:0060684"
"34786","NVE3700","GO:0060789"
"34787","NVE3700","GO:0060997"
"34788","NVE3700","GO:0071338"
"34789","NVE3700","GO:0071346"
"34790","NVE3700","GO:0090136"
"34906","NVE3700",""
"35153","NVE3700","GO:0000139"
"35155","NVE3700","GO:0001934"
"35161","NVE3700","GO:0005737"
"35162","NVE3700","GO:0005815"
"35169","NVE3700","GO:0007030"
"35172","NVE3700","GO:0007163"
"35173","NVE3700","GO:0007266"
"35176","NVE3700","GO:0016020"
"35177","NVE3700","GO:0016197"
"35179","NVE3700","GO:0030141"
"35184","NVE3700","GO:0031258"
"35186","NVE3700","GO:0031435"
"35189","NVE3700","GO:0032488"
"35199","NVE3700","GO:0043085"
"35203","NVE3700","GO:0043525"
"35208","NVE3700","GO:0045740"
"35210","NVE3700","GO:0046330"
"35213","NVE3700","GO:0048730"
"35217","NVE3700","GO:0051246"
"35218","NVE3700","GO:0051489"
"35220","NVE3700","GO:0051647"
"35221","NVE3700","GO:0051683"
"35222","NVE3700","GO:0051835"
"35227","NVE3700","GO:0060661"
"35233","NVE3700","GO:0071944"
"35234","NVE3700","GO:0072384"
"35236","NVE3700","GO:0090135"
"35238","NVE3700","GO:0090316"
"35239","NVE3700","GO:0098609"
"35240","NVE3700","GO:0099563"
"35264","NVE3700","GO:0004674"
"35267","NVE3700","GO:0005789"
"35271","NVE3700","GO:0005925"
"35278","NVE3700","GO:0007596"
"35279","NVE3700","GO:0010591"
"35284","NVE3700","GO:0021762"
"35285","NVE3700","GO:0030036"
"35287","NVE3700","GO:0030225"
"35291","NVE3700","GO:0031295"
"35296","NVE3700","GO:0032991"
"35299","NVE3700","GO:0035722"
"35301","NVE3700","GO:0038096"
"35304","NVE3700","GO:0042059"
"35306","NVE3700","GO:0043005"
"35310","NVE3700","GO:0048010"
"35311","NVE3700","GO:0048013"
"35312","NVE3700","GO:0051056"
"35313","NVE3700","GO:0051149"
"35317","NVE3700","GO:0051492"
"35321","NVE3700","GO:0060071"
"35324","NVE3700","GO:0070062"
"35395","NVE3700","GO:0009749"
"35399","NVE3700","GO:0017157"
"35400","NVE3700","GO:0030010"
"35479","NVE3701","GO:0005737"
"35480","NVE3701","GO:0008757"
"35481","NVE3701","GO:0016021"
"35482","NVE3701","GO:0032259"
"35484","NVE3702","GO:0005524"
"35485","NVE3702","GO:0005737"
"35486","NVE3702","GO:0008233"
"35487","NVE3702","GO:0030163"
"35488","NVE3702","GO:0036402"
"35489","NVE3702","GO:0000502"
"35491","NVE3702","GO:0005829"
"35492","NVE3702","GO:0006511"
"35494","NVE3702","GO:0036464"
"35585","NVE3702",""
"35589","NVE3702","GO:0008540"
"35590","NVE3702","GO:0017025"
"35591","NVE3702","GO:0030433"
"35592","NVE3702","GO:0031595"
"35593","NVE3702","GO:0031597"
"35596","NVE3702","GO:0045899"
"35681","NVE3702","GO:0016021"
"35696","NVE3702","GO:0000932"
"35697","NVE3702","GO:0001649"
"35699","NVE3702","GO:0005576"
"35700","NVE3702","GO:0005634"
"35701","NVE3702","GO:0005654"
"35706","NVE3702","GO:0016020"
"35707","NVE3702","GO:0016579"
"35708","NVE3702","GO:0016887"
"35710","NVE3702","GO:0022624"
"35714","NVE3702","GO:0034774"
"35717","NVE3702","GO:0043312"
"35718","NVE3702","GO:0043687"
"35720","NVE3702","GO:1904813"
"35727","NVE3702","GO:0008134"
"35737","NVE3702","GO:0043197"
"36069","NVE3702","GO:0005700"
"36073","NVE3702","GO:0043161"
"36566","NVE3702","GO:0005838"
"36643","NVE3704","GO:0004674"
"36644","NVE3704","GO:0005524"
"36645","NVE3704","GO:0005737"
"36646","NVE3704","GO:0035556"
"36647","NVE3704","GO:0043410"
"36648","NVE3704","GO:1902103"
"36649","NVE3705","GO:0003723"
"36652","NVE3706","GO:0016021"
"36653","NVE3706","GO:0004930"
"36655","NVE3709","GO:0008270"
"36656","NVE3710","GO:0004126"
"36657","NVE3710","GO:0005829"
"36658","NVE3710","GO:0008270"
"36659","NVE3710","GO:0009972"
"36660","NVE3713","GO:0005509"
"36661","NVE3714","GO:0004842"
"36662","NVE3714","GO:0008270"
"36667","NVE3715","GO:0004114"
"36668","NVE3715","GO:0007601"
"36671","NVE3717","GO:0004180"
"36672","NVE3717","GO:0016021"
"36673","NVE3718","GO:0016757"
"36674","NVE3719","GO:0005622"
"36675","NVE3719","GO:0035556"
"36676","NVE3720","GO:0003700"
"36677","NVE3720","GO:0005634"
"36678","NVE3720","GO:0006915"
"36679","NVE3720","GO:0044212"
"36684","NVE3721","GO:0004364"
"36685","NVE3721","GO:0015035"
"36686","NVE3722","GO:0003676"
"36688","NVE3723","GO:0000155"
"36689","NVE3723","GO:0005524"
"36690","NVE3723","GO:0005622"
"36691","NVE3723","GO:0016021"
"36704","NVE3723","GO:0005262"
"36706","NVE3724","GO:0003676"
"36708","NVE3724","GO:0006355"
"36709","NVE3725","GO:0004222"
"36710","NVE3726","GO:0006486"
"36711","NVE3726","GO:0008375"
"36716","NVE3727","GO:0007275"
"36717","NVE3729","GO:0004930"
"36718","NVE3729","GO:0016021"
"36719","NVE3729","GO:0008020"
"36723","NVE3730","GO:0005737"
"36724","NVE3730","GO:0016021"
"36725","NVE3730","GO:0030507"
"36726","NVE3731","GO:0016491"
"36727","NVE3732","GO:0000462"
"36728","NVE3732","GO:0003735"
"36729","NVE3732","GO:0006412"
"36730","NVE3732","GO:0022627"
"36732","NVE3732","GO:0005840"
"36734","NVE3733","GO:0005730"
"36735","NVE3733","GO:0016433"
"36736","NVE3734","GO:0004177"
"36738","NVE3734","GO:0019028"
"36739","NVE3735","GO:0005249"
"36740","NVE3735","GO:0008076"
"36741","NVE3735","GO:0016021"
"36742","NVE3735","GO:0034765"
"36743","NVE3735","GO:0051260"
"36744","NVE3735","GO:0071805"
"36749","NVE3737","GO:0005634"
"36750","NVE3737","GO:0006355"
"36752","NVE3738","GO:0006081"
"36753","NVE3738","GO:0016021"
"36754","NVE3738","GO:0016620"
"36757","NVE3740","GO:0005747"
"36758","NVE3741","GO:0005543"
"36759","NVE3741","GO:0006606"
"36760","NVE3741","GO:0017056"
"36761","NVE3741","GO:0044613"
"36762","NVE3741","GO:0071426"
"36763","NVE3745","GO:0001733"
"36764","NVE3745","GO:0005794"
"36765","NVE3745","GO:0009247"
"36766","NVE3745","GO:0016021"
"36771","NVE3746","GO:0008285"
"36772","NVE3746","GO:0016573"
"36773","NVE3746","GO:0046872"
"36774","NVE3746","GO:0070776"
"36807","NVE3747","GO:0008285"
"36808","NVE3747","GO:0016573"
"36809","NVE3747","GO:0046872"
"36810","NVE3747","GO:0070776"
"36811","NVE3748","GO:0005886"
"36812","NVE3748","GO:0007165"
"36813","NVE3749",""
"36814","NVE3750",""
"36815","NVE3751","GO:0005524"
"36816","NVE3751","GO:0005737"
"36817","NVE3751","GO:0008233"
"36818","NVE3751","GO:0030163"
"36819","NVE3751","GO:0036402"
"36821","NVE3751","GO:0008540"
"36822","NVE3751","GO:0017025"
"36823","NVE3751","GO:0030433"
"36824","NVE3751","GO:0031595"
"36825","NVE3751","GO:0031597"
"36827","NVE3751","GO:0045899"
"36833","NVE3752","GO:0005524"
"36834","NVE3752","GO:0016021"
"36835","NVE3752","GO:0016887"
"36836","NVE3753","GO:0000049"
"36837","NVE3753","GO:0005634"
"36838","NVE3753","GO:0008176"
"36839","NVE3754","GO:0005509"
"36840","NVE3756","GO:0000790"
"36841","NVE3756","GO:0003682"
"36842","NVE3756","GO:0003688"
"36843","NVE3756","GO:0005524"
"36844","NVE3756","GO:0005664"
"36845","NVE3756","GO:0033314"
"36846","NVE3756","GO:1902969"
"36847","NVE3757","GO:0000790"
"36848","NVE3757","GO:0003682"
"36849","NVE3757","GO:0003688"
"36850","NVE3757","GO:0005524"
"36851","NVE3757","GO:0005664"
"36852","NVE3757","GO:0033314"
"36853","NVE3757","GO:1902969"
"36854","NVE3758","GO:0016021"
"36855","NVE3758","GO:0022857"
"36856","NVE3759","GO:0042981"
"36858","NVE3768","GO:0000155"
"36859","NVE3768","GO:0005622"
"36860","NVE3768","GO:0009190"
"36861","NVE3768","GO:0016021"
"36862","NVE3768","GO:0016849"
"36863","NVE3769","GO:0046373"
"36864","NVE3769","GO:0046556"
"36865","NVE3770","GO:0000725"
"36866","NVE3770","GO:0003684"
"36867","NVE3770","GO:0004176"
"36868","NVE3770","GO:0004252"
"36869","NVE3770","GO:0005524"
"36870","NVE3770","GO:0008094"
"36871","NVE3770","GO:0046872"
"36914","NVE3771","GO:0016021"
"36915","NVE3771","GO:0016491"
"36916","NVE3773","GO:0004856"
"36917","NVE3773","GO:0005737"
"36918","NVE3773","GO:0005997"
"36919","NVE3774","GO:0006351"
"36920","NVE3774","GO:0006357"
"36921","NVE3774","GO:0016592"
"36922","NVE3774","GO:0070847"
"36930","NVE3775","GO:0005634"
"36931","NVE3775","GO:0045892"
"36932","NVE3776","GO:0016021"
"36933","NVE3776","GO:0003910"
"36934","NVE3776","GO:0005524"
"36935","NVE3776","GO:0006281"
"36936","NVE3776","GO:0006310"
"36937","NVE3780","GO:0004843"
"36938","NVE3780","GO:0016579"
"36939","NVE3781","GO:0008270"
"36940","NVE3781","GO:0030176"
"36941","NVE3781","GO:0030433"
"36943","NVE3781","GO:0016021"
"36944","NVE3781","GO:0016874"
"36945","NVE3782","GO:0004930"
"36946","NVE3782","GO:0016021"
"36949","NVE3783","GO:0004930"
"36950","NVE3783","GO:0016021"
"36951","NVE3784","GO:0005783"
"36952","NVE3784","GO:0006506"
"36953","NVE3784","GO:0006888"
"36954","NVE3784","GO:0016021"
"36955","NVE3784","GO:0016787"
"36956","NVE3784","GO:0005737"
"36959","NVE3785","GO:0004013"
"36960","NVE3785","GO:0005829"
"36961","NVE3785","GO:0006730"
"36962","NVE3785","GO:0019510"
"36963","NVE3785","GO:0033353"
"36964","NVE3785","GO:0051287"
"36969","NVE3786","GO:0020037"
"36970","NVE3786","GO:0046872"
"36971","NVE3787","GO:0005622"
"36972","NVE3787","GO:0035556"
"36975","NVE3788","GO:0004252"
"36976","NVE3790","GO:0005506"
"36977","NVE3790","GO:0016705"
"36978","NVE3790","GO:0031418"
"36979","NVE3791","GO:0005506"
"36980","NVE3791","GO:0016705"
"36981","NVE3791","GO:0031418"
"36982","NVE3792","GO:0005506"
"36983","NVE3792","GO:0016021"
"36984","NVE3792","GO:0016705"
"36985","NVE3792","GO:0031418"
"36989","NVE3793","GO:0005506"
"36990","NVE3793","GO:0016705"
"36991","NVE3793","GO:0031418"
"36992","NVE3794","GO:0005622"
"36993","NVE3794","GO:0035556"
"36994","NVE3795","GO:0004222"
"36995","NVE3795","GO:0008270"
"36996","NVE3796","GO:0005179"
"36997","NVE3796","GO:0005576"
"36998","NVE3797","GO:0004930"
"36999","NVE3797","GO:0016021"
"37000","NVE3798","GO:0016021"
"37001","NVE3798","GO:0016747"
"37002","NVE3800","GO:0016021"
"37003","NVE3802","GO:0016021"
"37004","NVE3802","GO:0032977"
"37005","NVE3804","GO:0070492"
"37006","NVE3805","GO:0004222"
"37007","NVE3805","GO:0008270"
"37010","NVE3807","GO:0044212"
"37011","NVE3808","GO:0044599"
"37012","NVE3808","GO:0004672"
"37013","NVE3808","GO:0005524"
"37014","NVE3809","GO:0003676"
"37015","NVE3809","GO:0005524"
"37016","NVE3809","GO:0000724"
"37017","NVE3809","GO:0003677"
"37019","NVE3809","GO:0005634"
"37020","NVE3809","GO:0005694"
"37021","NVE3809","GO:0005737"
"37022","NVE3809","GO:0006260"
"37023","NVE3809","GO:0006284"
"37024","NVE3809","GO:0009378"
"37025","NVE3809","GO:0032508"
"37026","NVE3809","GO:0043140"
"37027","NVE3810","GO:0000724"
"37028","NVE3810","GO:0003677"
"37029","NVE3810","GO:0005524"
"37030","NVE3810","GO:0005634"
"37031","NVE3810","GO:0005694"
"37032","NVE3810","GO:0005737"
"37033","NVE3810","GO:0006260"
"37034","NVE3810","GO:0006284"
"37035","NVE3810","GO:0009378"
"37036","NVE3810","GO:0032508"
"37037","NVE3810","GO:0043140"
"37038","NVE3811","GO:0003676"
"37041","NVE3813","GO:0016021"
"37042","NVE3813","GO:0004859"
"37043","NVE3813","GO:0005576"
"37044","NVE3814","GO:0008152"
"37045","NVE3814","GO:0016787"
"37046","NVE3815","GO:0000124"
"37047","NVE3815","GO:0003700"
"37048","NVE3815","GO:0003713"
"37049","NVE3815","GO:0005643"
"37050","NVE3815","GO:0005694"
"37051","NVE3815","GO:0006368"
"37052","NVE3815","GO:0006406"
"37053","NVE3815","GO:0016578"
"37054","NVE3815","GO:0045893"
"37055","NVE3815","GO:0046982"
"37056","NVE3815","GO:0070390"
"37057","NVE3815","GO:0071819"
"37058","NVE3816","GO:0003756"
"37059","NVE3816","GO:0005783"
"37060","NVE3816","GO:0006457"
"37061","NVE3816","GO:0034976"
"37062","NVE3816","GO:0045454"
"37063","NVE3817","GO:0003677"
"37065","NVE3818","GO:0004553"
"37066","NVE3818","GO:0005975"
"37067","NVE3818","GO:0016491"
"37068","NVE3820","GO:0003700"
"37069","NVE3820","GO:0005634"
"37070","NVE3820","GO:0043565"
"37071","NVE3821","GO:0004623"
"37072","NVE3821","GO:0006644"
"37073","NVE3821","GO:0050482"
"37074","NVE3822","GO:0005634"
"37075","NVE3822","GO:0006334"
"37080","NVE3822","GO:0008939"
"37081","NVE3822","GO:0009236"
"37086","NVE3825","GO:0016021"
"37087","NVE3826",""
"37088","NVE3827","GO:0003729"
"37089","NVE3827","GO:0005849"
"37090","NVE3827","GO:0006378"
"37091","NVE3828","GO:0005788"
"37092","NVE3828","GO:0006664"
"37093","NVE3828","GO:0046527"
"37094","NVE3829","GO:0005769"
"37095","NVE3829","GO:0005770"
"37096","NVE3829","GO:0005829"
"37097","NVE3829","GO:0006622"
"37098","NVE3829","GO:0008333"
"37099","NVE3829","GO:0031313"
"37100","NVE3829","GO:0035091"
"37101","NVE3829","GO:0045022"
"37102","NVE3830","GO:0004364"
"37103","NVE3830","GO:0008152"
"37108","NVE3832","GO:0016491"
"37109","NVE3833","GO:0016491"
"37111","NVE3834","GO:0016491"
"37113","NVE3835","GO:0004930"
"37114","NVE3835","GO:0016021"
"37115","NVE3837","GO:0004623"
"37116","NVE3837","GO:0006644"
"37117","NVE3837","GO:0050482"
"37124","NVE3838","GO:0004623"
"37125","NVE3838","GO:0006644"
"37126","NVE3838","GO:0050482"
"37133","NVE3839","GO:0030246"
"37134","NVE3839","GO:0005581"
"37138","NVE3840","GO:0030246"
"37139","NVE3842","GO:0004252"
"37140","NVE3842","GO:0005518"
"37141","NVE3842","GO:0005618"
"37142","NVE3842","GO:0007155"
"37143","NVE3842","GO:0016021"
"37144","NVE3843","GO:0030246"
"37145","NVE3844","GO:0030246"
"37147","NVE3845","GO:0030246"
"37148","NVE3845","GO:0005581"
"37151","NVE3846","GO:0004930"
"37152","NVE3846","GO:0016021"
"37153","NVE3847","GO:0007034"
"37155","NVE3848","GO:0003723"
"37159","NVE3851","GO:0003723"
"37161","NVE3852","GO:0003723"
"37162","NVE3854","GO:0005739"
"37163","NVE3854","GO:0008270"
"37164","NVE3854","GO:0034979"
"37165","NVE3854","GO:0036054"
"37166","NVE3854","GO:0036055"
"37167","NVE3854","GO:0070403"
"37174","NVE3855","GO:0003676"
"37175","NVE3855","GO:0004004"
"37176","NVE3855","GO:0005524"
"37177","NVE3855","GO:0005730"
"37178","NVE3855","GO:0005737"
"37179","NVE3855","GO:0010501"
"37180","NVE3856","GO:0004144"
"37181","NVE3856","GO:0005789"
"37182","NVE3856","GO:0016021"
"37183","NVE3856","GO:0019432"
"37196","NVE3857","GO:0003684"
"37197","NVE3857","GO:0006284"
"37198","NVE3857","GO:0006289"
"37199","NVE3857","GO:0008270"
"37200","NVE3857","GO:0008534"
"37201","NVE3857","GO:0140078"
"37202","NVE3860","GO:0005506"
"37203","NVE3860","GO:0005783"
"37204","NVE3860","GO:0005789"
"37205","NVE3860","GO:0006631"
"37206","NVE3860","GO:0006633"
"37207","NVE3860","GO:0016021"
"37208","NVE3860","GO:0080132"
"37213","NVE3860","GO:0020037"
"37215","NVE3861","GO:0000166"
"37216","NVE3861","GO:0003677"
"37217","NVE3861","GO:0003887"
"37218","NVE3861","GO:0006260"
"37219","NVE3861","GO:0055114"
"37220","NVE3862","GO:0007219"
"37221","NVE3862","GO:0007275"
"37222","NVE3862","GO:0016021"
"37223","NVE3863","GO:0016021"
"37226","NVE3865","GO:0000287"
"37227","NVE3865","GO:0003723"
"37228","NVE3865","GO:0004654"
"37229","NVE3865","GO:0005737"
"37230","NVE3865","GO:0006396"
"37231","NVE3865","GO:0006402"
"37339","NVE3865","GO:0046872"
"37340","NVE3866",""
"37341","NVE3866","GO:0009297"
"37342","NVE3866","GO:0015473"
"37343","NVE3866","GO:0016020"
"37344","NVE3866","GO:0016021"
"37345","NVE3868","GO:0016021"
"37346","NVE3868","GO:0003824"
"37347","NVE3868","GO:0008152"
"37348","NVE3868","GO:0031177"
"37349","NVE3868","GO:0000244"
"37350","NVE3868","GO:0046540"
"37351","NVE3869","GO:0008146"
"37354","NVE3871","GO:0003677"
"37355","NVE3871","GO:0003700"
"37356","NVE3871","GO:0005634"
"37357","NVE3871","GO:0006351"
"37362","NVE3872","GO:0004843"
"37363","NVE3872","GO:0005829"
"37364","NVE3872","GO:0070536"
"37365","NVE3872","GO:0016579"
"37366","NVE3872","GO:0036459"
"37367","NVE3872","GO:0016787"
"37368","NVE3874","GO:0005634"
"37378","NVE3875","GO:0004843"
"37379","NVE3875","GO:0005829"
"37380","NVE3875","GO:0070536"
"37381","NVE3877","GO:0005634"
"37392","NVE3878","GO:0004160"
"37393","NVE3878","GO:0008152"
"37394","NVE3879","GO:0016021"
"37395","NVE3880","GO:0005576"
"37396","NVE3880","GO:0042151"
"37397","NVE3880","GO:0090729"
"37402","NVE3880","GO:0019870"
"37404","NVE3880","GO:0044361"
"37406","NVE3881","GO:0004497"
"37407","NVE3881","GO:0005506"
"37408","NVE3881","GO:0016705"
"37409","NVE3881","GO:0020037"
"37410","NVE3882","GO:0004497"
"37411","NVE3882","GO:0005506"
"37412","NVE3882","GO:0016705"
"37413","NVE3882","GO:0020037"
"37416","NVE3882","GO:0016021"
"37419","NVE3883","GO:0005524"
"37420","NVE3885","GO:0006629"
"37421","NVE3885","GO:0008374"
"37424","NVE3887","GO:0003723"
"37426","NVE3888","GO:0072546"
"37427","NVE3892","GO:0003677"
"37428","NVE3892","GO:0005634"
"37429","NVE3893","GO:0035091"
"37430","NVE3894","GO:0016491"
"37431","NVE3895","GO:0005215"
"37432","NVE3895","GO:0016021"
"37433","NVE3895","GO:0055085"
"37434","NVE3895","GO:0005524"
"37436","NVE3895","GO:0042626"
"37437","NVE3896",""
"37440","NVE3897","GO:0005737"
"37441","NVE3897","GO:0006631"
"37442","NVE3897","GO:0006637"
"37443","NVE3897","GO:0047617"
"37444","NVE3898","GO:0016021"
"37445","NVE3899","GO:0000455"
"37446","NVE3899","GO:0003723"
"37447","NVE3899","GO:0009982"
"37448","NVE3900","GO:0016787"
"37449","NVE3901","GO:0000786"
"37450","NVE3901","GO:0003677"
"37451","NVE3901","GO:0005634"
"37452","NVE3901","GO:0046982"
"37461","NVE3902","GO:0000786"
"37462","NVE3902","GO:0000790"
"37463","NVE3902","GO:0003677"
"37464","NVE3902","GO:0006342"
"37465","NVE3902","GO:0046982"
"37468","NVE3902","GO:0005634"
"37507","NVE3902","GO:0006334"
"37510","NVE3904","GO:0016021"
"37511","NVE3904","GO:0016747"
"37514","NVE3905","GO:0003677"
"37515","NVE3905","GO:0004003"
"37516","NVE3905","GO:0005524"
"37517","NVE3906","GO:0016021"
"37518","NVE3906","GO:0016747"
"37519","NVE3907","GO:0000783"
"37520","NVE3907","GO:0003691"
"37521","NVE3907","GO:0031627"
"37531","NVE3908","GO:0004672"
"37532","NVE3908","GO:0005524"
"37533","NVE3908","GO:0005634"
"37534","NVE3908","GO:0006468"
"37535","NVE3909","GO:0004672"
"37536","NVE3909","GO:0005524"
"37537","NVE3909","GO:0005634"
"37538","NVE3909","GO:0006468"
"37541","NVE3910","GO:0003824"
"37542","NVE3910","GO:0050662"
"37543","NVE3911","GO:0005509"
"37544","NVE3912","GO:0005509"
"37547","NVE3913","GO:0016810"
"37550","NVE3914","GO:0003779"
"37551","NVE3914","GO:0007009"
"37552","NVE3916","GO:0000712"
"37553","NVE3916","GO:0000776"
"37554","NVE3916","GO:0003682"
"37555","NVE3916","GO:0003690"
"37556","NVE3916","GO:0006312"
"37557","NVE3916","GO:0031297"
"37558","NVE3916","GO:0036297"
"37559","NVE3916","GO:0043240"
"37560","NVE3916","GO:0046982"
"37561","NVE3916","GO:0051382"
"37562","NVE3916","GO:0071821"
"37563","NVE3918",""
"37565","NVE3919",""
"37568","NVE3920","GO:0006357"
"37569","NVE3920","GO:0016592"
"37572","NVE3920","GO:0004386"
"37573","NVE3920","GO:0005524"
"37574","NVE3920",""
"37577","NVE3921","GO:0005622"
"37578","NVE3921","GO:0008270"
"37581","NVE3922","GO:0008152"
"37582","NVE3922","GO:0016746"
"37583","NVE3922","GO:0005509"
"37585","NVE3922","GO:0016021"
"37587","NVE3923",""
"37588","NVE3923","GO:0005524"
"37589","NVE3923","GO:0006281"
"37590","NVE3923","GO:0006310"
"37592","NVE3923","GO:0009405"
"37593","NVE3923","GO:0016020"
"37594","NVE3924","GO:0016021"
"37595","NVE3925","GO:0016021"
"37596","NVE3925","GO:0016787"
"37597","NVE3926","GO:0016021"
"37598","NVE3926","GO:0016787"
"37599","NVE3927","GO:0000786"
"37600","NVE3927","GO:0003677"
"37601","NVE3927","GO:0005634"
"37602","NVE3927","GO:0046982"
"37611","NVE3929","GO:0004069"
"37612","NVE3929","GO:0005739"
"37613","NVE3929","GO:0006533"
"37614","NVE3929","GO:0009058"
"37615","NVE3929","GO:0030170"
"37617","NVE3929","GO:0006520"
"37620","NVE3930","GO:0005887"
"37621","NVE3930","GO:0008514"
"37626","NVE3933","GO:0016021"
"37627","NVE3935","GO:0016021"
"37628","NVE3936","GO:0016021"
"37629","NVE3936","GO:0005509"
"37631","NVE3936","GO:0055085"
"37632","NVE3937","GO:0004707"
"37633","NVE3937","GO:0005524"
"37634","NVE3937","GO:0005634"
"37635","NVE3937","GO:0005737"
"37636","NVE3937","GO:0007166"
"37637","NVE3937","GO:0010468"
"37638","NVE3937","GO:0071310"
"37641","NVE3937","GO:0005622"
"37642","NVE3940","GO:0055114"
"37645","NVE3940","GO:0003824"
"37646","NVE3941","GO:0000151"
"37647","NVE3941","GO:0000209"
"37648","NVE3941","GO:0003676"
"37649","NVE3941","GO:0005737"
"37650","NVE3941","GO:0016021"
"37651","NVE3941","GO:0031624"
"37652","NVE3941","GO:0032436"
"37653","NVE3941","GO:0046872"
"37654","NVE3941","GO:0061630"
"37655","NVE3941","GO:0004842"
"37657","NVE3941","GO:0016874"
"37659","NVE3942","GO:0003682"
"37660","NVE3942","GO:0005634"
"37661","NVE3942","GO:0006338"
"37662","NVE3942","GO:0042393"
"37663","NVE3942","GO:2000779"
"37664","NVE3944","GO:0008152"
"37665","NVE3944","GO:0015020"
"37666","NVE3944","GO:0016021"
"37667","NVE3944","GO:0043231"
"37676","NVE3945","GO:0003924"
"37677","NVE3945","GO:0005525"
"37678","NVE3945","GO:0006904"
"37679","NVE3945","GO:0009306"
"37680","NVE3945","GO:0017157"
"37681","NVE3945","GO:0001525"
"37686","NVE3945","GO:0005768"
"37687","NVE3945","GO:0005886"
"37691","NVE3945","GO:0030667"
"37692","NVE3945","GO:0072659"
"37693","NVE3946","GO:0003824"
"37694","NVE3946","GO:0005615"
"37695","NVE3946","GO:0008152"
"37696","NVE3946","GO:0016021"
"37697","NVE3946","GO:0032504"
"37707","NVE3947","GO:0003824"
"37708","NVE3947","GO:0005615"
"37709","NVE3947","GO:0008152"
"37710","NVE3947","GO:0032504"
"37714","NVE3947","GO:0016021"
"37721","NVE3947","GO:0005272"
"37723","NVE3950","GO:0005272"
"37724","NVE3950","GO:0016021"
"37733","NVE3950","GO:0003824"
"37734","NVE3950","GO:0005615"
"37735","NVE3950","GO:0008152"
"37736","NVE3950","GO:0032504"
"37747","NVE3951","GO:0005272"
"37748","NVE3951","GO:0016021"
"37755","NVE3952","GO:0017137"
"37756","NVE3954","GO:0004197"
"37759","NVE3954","GO:0051092"
"37760","NVE3957","GO:0008324"
"37761","NVE3957","GO:0016021"
"37762","NVE3958","GO:0004197"
"37766","NVE3958","GO:0051092"
"37767","NVE3959","GO:0004197"
"37769","NVE3960","GO:0000977"
"37770","NVE3960","GO:0005634"
"37771","NVE3960","GO:0006351"
"37772","NVE3960","GO:0045944"
"37773","NVE3960","GO:0046983"
"37774","NVE3960","GO:0003677"
"37777","NVE3960","GO:0006355"
"37789","NVE3961","GO:0004672"
"37790","NVE3965","GO:0005524"
"37791","NVE3965","GO:0016020"
"37792","NVE3965","GO:0016021"
"37793","NVE3965","GO:0042626"
"37794","NVE3965","GO:0055085"
"37805","NVE3966","GO:0005524"
"37806","NVE3966","GO:0016020"
"37807","NVE3966","GO:0016021"
